bin	ch 1	ch 2	ch 3	ch 4	ch 5	ch 6	ch 7	
15.1500	1067	1119	1062	1101	1019	1258	1052	
15.2500	969	975	1074	972	940	1180	943	
15.3500	880	925	969	963	932	1016	866	
15.4500	812	879	862	860	809	1027	807	
15.5500	799	813	829	836	762	943	730	
15.6500	725	762	762	753	805	843	693	
15.7500	711	709	734	711	675	830	666	
15.8500	658	641	664	649	641	770	542	
15.9500	600	584	609	616	555	679	567	
16.0500	549	567	577	560	518	654	479	
16.1500	487	491	501	473	482	563	499	
16.2500	455	435	462	470	434	483	400	
16.3500	399	431	408	421	383	486	377	
16.4500	344	371	390	406	325	448	325	
16.5500	329	336	336	336	297	408	296	
16.6500	269	300	284	301	284	361	285	
16.7500	252	265	254	295	257	309	260	
16.8500	238	235	215	246	200	281	208	
16.9500	215	212	197	197	195	242	170	
17.0500	200	178	181	176	171	203	153	
17.1500	139	180	155	159	152	182	145	
17.2500	128	157	146	170	131	160	109	
17.3500	116	121	118	95	100	146	85	
17.4500	89	88	101	96	94	113	80	
17.5500	78	67	74	74	74	108	67	
17.6500	54	63	79	56	67	75	55	
17.7500	56	49	55	58	42	60	41	
17.8500	38	50	42	43	34	48	28	
17.9500	24	30	26	31	34	29	14	
18.0500	18	28	15	24	23	27	16	
18.1500	24	12	8	14	19	17	5	
18.2500	9	9	2	9	7	11	10	
18.3500	4	5	7	6	6	10	6	
18.4500	5	3	5	5	4	3	1	
18.5500	1	3	2	5	4	5	2	
18.6500	1	2	1	4	0	2	0	
18.7500	0	1	2	4	2	1	0	
18.8500	2	0	1	0	1	1	1	
18.9500	0	1	3	1	2	5	0	
19.0500	0	0	1	1	1	1	1	
19.1500	1	0	1	0	4	1	2	
19.2500	1	1	1	3	1	2	2	
19.3500	1	3	1	2	0	1	2	
19.4500	0	2	0	0	1	0	1	
19.5500	2	1	0	1	0	1	2	
19.6500	1	2	2	0	1	1	0	
19.7500	0	1	3	3	0	0	0	
19.8500	0	1	0	1	0	1	1	
19.9500	3	1	0	2	0	4	2	
