bin	ch 1	ch 2	ch 3	ch 4	ch 5	ch 6	ch 7	
6.1500	16	14	10	16	13	3	17	
6.2500	18	18	20	14	21	4	13	
6.3500	18	21	15	14	11	5	20	
6.4500	22	17	12	14	9	1	13	
6.5500	9	21	13	21	18	2	23	
6.6500	9	13	16	14	13	2	10	
6.7500	16	13	15	26	13	0	9	
6.8500	15	19	10	16	17	4	10	
6.9500	17	16	14	9	20	6	17	
7.0500	20	20	18	14	17	3	11	
7.1500	19	12	14	14	10	3	12	
7.2500	23	20	16	23	25	0	12	
7.3500	17	8	15	16	16	0	12	
7.4500	14	13	18	22	20	1	18	
7.5500	21	18	13	8	13	4	18	
7.6500	20	13	22	19	15	3	12	
7.7500	18	18	18	22	14	2	19	
7.8500	19	13	16	11	15	5	18	
7.9500	15	23	17	16	16	3	14	
8.0500	23	12	21	23	16	5	12	
8.1500	9	17	22	22	15	3	14	
8.2500	18	19	15	16	19	3	21	
8.3500	20	17	19	11	21	4	11	
8.4500	12	10	15	15	21	4	30	
8.5500	17	7	23	23	19	3	18	
8.6500	21	20	16	21	24	3	22	
8.7500	16	13	23	15	15	4	17	
8.8500	17	22	20	25	18	5	15	
8.9500	15	17	15	22	23	6	19	
9.0500	11	23	17	10	19	3	15	
9.1500	10	21	15	15	22	3	21	
9.2500	19	12	9	19	16	6	25	
9.3500	17	13	18	21	23	7	23	
9.4500	17	19	18	18	23	2	16	
9.5500	26	18	28	14	16	11	19	
9.6500	15	14	34	25	16	9	12	
9.7500	25	22	21	23	20	4	17	
9.8500	22	27	10	15	22	13	20	
9.9500	21	21	17	21	15	10	23	
10.0500	28	30	20	20	29	15	25	
10.1500	20	27	15	30	34	15	26	
10.2500	21	23	17	22	25	18	26	
10.3500	23	24	17	26	36	16	24	
10.4500	25	18	26	22	24	23	31	
10.5500	21	29	20	28	31	12	31	
10.6500	36	22	43	25	31	22	20	
10.7500	37	34	35	33	34	25	44	
10.8500	45	36	29	32	46	29	33	
10.9500	33	44	37	33	35	35	34	
11.0500	32	31	39	33	33	30	35	
11.1500	33	31	37	33	45	32	35	
11.2500	31	33	39	34	38	17	37	
11.3500	52	45	30	40	42	36	45	
11.4500	45	35	36	37	47	42	51	
11.5500	31	54	36	45	50	45	49	
11.6500	42	48	53	40	51	38	52	
11.7500	44	51	40	52	54	57	39	
11.8500	53	46	61	49	51	52	52	
11.9500	55	56	50	59	71	69	72	
12.0500	65	58	73	51	85	55	74	
12.1500	76	76	58	72	72	101	64	
12.2500	80	78	54	75	75	88	77	
12.3500	91	84	83	79	95	88	81	
12.4500	91	80	76	88	89	99	95	
12.5500	95	98	97	92	128	128	94	
12.6500	112	125	113	83	114	123	128	
12.7500	129	121	108	120	136	140	117	
12.8500	136	138	121	125	155	163	150	
12.9500	150	122	158	138	136	208	165	
13.0500	173	148	165	169	168	204	171	
13.1500	192	193	160	194	191	234	195	
13.2500	234	206	192	210	233	281	228	
13.3500	238	245	241	199	261	316	289	
13.4500	278	272	272	274	319	383	378	
13.5500	352	344	362	345	374	465	436	
13.6500	504	453	452	428	566	557	577	
13.7500	725	622	617	596	737	831	807	
13.8500	946	899	885	818	968	1083	1088	
13.9500	1235	1187	1147	1076	1198	1379	1320	
14.0500	1415	1423	1372	1356	1393	1608	1616	
14.1500	1610	1573	1579	1514	1512	1741	1666	
14.2500	1663	1673	1637	1546	1530	1865	1727	
14.3500	1651	1641	1661	1577	1593	1878	1628	
14.4500	1530	1608	1619	1639	1601	1872	1552	
14.5500	1514	1566	1510	1499	1512	1769	1455	
14.6500	1416	1503	1430	1471	1410	1662	1390	
14.7500	1358	1390	1422	1418	1263	1599	1279	
14.8500	1260	1239	1270	1258	1294	1475	1188	
14.9500	1263	1190	1247	1258	1207	1383	1166	
15.0500	1128	1072	1113	1127	1118	1343	1082	
15.1500	1035	1118	1035	1065	1001	1204	986	
15.2500	943	971	1061	987	1009	1174	962	
15.3500	939	962	897	927	896	1098	895	
15.4500	857	911	867	878	832	1008	854	
15.5500	786	814	803	833	823	917	760	
15.6500	726	733	746	764	777	915	672	
15.7500	722	757	723	732	661	808	619	
15.8500	664	613	625	648	594	755	557	
15.9500	588	575	637	632	549	690	576	
16.0500	567	509	531	528	490	610	523	
16.1500	532	477	483	498	467	567	454	
16.2500	475	478	437	483	450	575	440	
16.3500	377	395	407	413	438	489	407	
16.4500	327	361	399	408	340	498	326	
16.5500	301	325	337	343	341	380	318	
16.6500	281	265	332	316	307	335	274	
16.7500	241	278	274	275	272	301	235	
16.8500	238	220	229	227	208	264	211	
16.9500	191	196	218	223	195	251	173	
17.0500	191	173	187	173	163	244	159	
17.1500	150	145	144	167	149	148	126	
17.2500	146	148	134	160	139	157	102	
17.3500	100	143	124	109	119	122	89	
17.4500	79	97	90	112	96	115	70	
17.5500	55	93	76	84	95	102	61	
17.6500	60	71	63	58	82	77	57	
17.7500	46	41	41	56	39	68	38	
17.8500	37	34	46	50	42	43	27	
17.9500	30	25	26	37	20	40	15	
18.0500	18	24	19	21	17	20	7	
18.1500	16	10	14	12	16	26	9	
18.2500	7	6	13	8	9	11	4	
18.3500	1	10	4	6	4	3	2	
18.4500	4	2	6	2	9	3	4	
18.5500	1	1	1	4	0	3	2	
18.6500	3	1	2	1	2	4	0	
18.7500	0	0	2	3	3	2	0	
18.8500	0	1	0	2	0	0	1	
18.9500	0	0	2	0	0	0	0	
19.0500	1	0	0	3	0	2	0	
19.1500	0	0	2	1	0	2	1	
19.2500	1	0	0	0	0	2	2	
19.3500	0	0	0	1	0	0	0	
19.4500	0	0	1	0	2	0	1	
19.5500	0	1	0	0	0	0	2	
19.6500	0	1	1	2	0	1	0	
19.7500	0	0	0	1	0	2	0	
19.8500	0	0	0	0	0	0	1	
19.9500	0	0	0	0	0	0	0	
