bin	ch 1	ch 2	ch 3	ch 4	ch 5	ch 6	ch 7	
0.0500	0	1	0	0	3	0	2	
0.1500	0	0	0	0	8	1	8	
0.2500	1	0	0	0	4	0	5	
0.3500	0	0	0	0	4	0	1	
0.4500	0	0	0	0	2	0	7	
0.5500	0	0	0	0	1	0	0	
0.6500	0	0	0	0	2	0	1	
0.7500	0	0	1	0	4	1	0	
0.8500	0	0	0	0	0	0	1	
0.9500	0	0	0	0	1	1	0	
1.0500	0	0	0	0	0	0	0	
1.1500	0	0	0	0	0	0	0	
1.2500	0	0	0	0	0	1	1	
1.3500	0	0	0	0	1	0	0	
1.4500	0	0	0	0	0	0	0	
1.5500	0	0	0	0	0	0	0	
1.6500	0	0	0	0	1	0	1	
1.7500	1	0	0	0	1	1	0	
1.8500	0	0	0	0	0	0	0	
1.9500	0	0	0	0	0	0	0	
2.0500	0	1	0	0	0	0	0	
2.1500	0	0	0	0	1	1	0	
2.2500	1	0	1	0	0	0	2	
2.3500	0	0	0	0	0	1	0	
2.4500	3	0	0	2	2	1	2	
2.5500	1	0	1	0	1	0	0	
2.6500	2	0	0	1	4	1	1	
2.7500	4	1	0	2	3	2	4	
2.8500	3	0	2	3	4	2	9	
2.9500	5	0	0	3	3	2	6	
3.0500	3	3	3	3	2	1	2	
3.1500	2	2	3	7	8	3	6	
3.2500	3	3	1	4	7	1	4	
3.3500	4	4	3	7	8	3	7	
3.4500	5	2	1	2	2	2	10	
3.5500	7	4	3	3	8	2	5	
3.6500	7	7	7	5	8	1	7	
3.7500	8	7	6	3	9	3	8	
3.8500	8	6	5	4	12	0	8	
3.9500	4	4	9	5	13	3	8	
4.0500	5	7	5	4	11	1	11	
4.1500	9	5	0	7	9	0	9	
4.2500	9	2	4	6	8	1	11	
4.3500	9	8	7	5	16	0	5	
4.4500	6	5	6	6	11	0	8	
4.5500	9	7	5	10	10	2	15	
4.6500	9	5	9	11	12	0	12	
4.7500	17	8	4	11	15	1	12	
4.8500	13	7	8	8	12	2	12	
4.9500	15	9	9	6	19	1	16	
5.0500	13	11	12	17	16	1	19	
5.1500	22	9	3	13	21	3	10	
5.2500	22	6	13	17	11	1	17	
5.3500	14	15	10	13	13	2	12	
5.4500	18	13	7	22	12	2	22	
5.5500	19	11	8	14	19	2	18	
5.6500	16	11	15	19	15	1	13	
5.7500	11	13	13	19	7	2	15	
5.8500	20	12	11	22	14	3	19	
5.9500	29	14	12	20	14	2	17	
6.0500	16	13	18	13	12	1	18	
