1	0.00091069
2	0.002461268
3	0.004493497
4	0.010063747
5	0.059183689
6	0.23853612
7	0.551701311
8	0.863159599
9	1
10	0.896037765
11	0.663384325
12	0.457313789
13	0.372700401
14	0.394658612
15	0.445189707
16	0.458891407
17	0.420752261
18	0.358413114
19	0.305358
20	0.274884708
21	0.264486964
22	0.260966687
23	0.253066767
24	0.237713088
25	0.217662891
26	0.198719646
27	0.184289554
28	0.17449852
29	0.167363327
30	0.160490084
31	0.152665369
32	0.143507242
33	0.134602616
34	0.126947746
35	0.120951615
36	0.116103841
37	0.111535762
38	0.106855299
39	0.10209287
40	0.097287346
41	0.093271053
42	0.089894427
43	0.086903121
